code	countries_en
27083	United Kingdom
50913	United Kingdom
56434	United Kingdom
290616	Canada
394710	Canada
673358	United Kingdom
1798180	United Kingdom
1938067	Canada
4302544	Canada
5200016	France
7020254	France
7730009	France
8237798	Canada
10090206	France
10127735	France
20004552	France
20424640	Germany
27533024	United Kingdom
40608754	France
50985098	United Kingdom
54491472	United Kingdom
54491496	United Kingdom
75001629	United Kingdom
80007838	Italy
80135876	Romania
84154071	Spain
87177756	France
93718738	Australia
204286484	Germany
2929	United Kingdom
30	France
31	France
3100	France
460938714	Germany
470322800	Germany
50	France
51	France
526938306	Germany
790310013	Germany
790310020	Germany
104	France
11501	France
11501	United Kingdom
11679	France
11686	France
11693	France
11693	United Kingdom
11709	France
11709	United Kingdom
11730	France
11730	United Kingdom
11754	Belgium
11754	France
11754	Netherlands
11754	United Kingdom
11778	Belgium
11778	France
11778	Netherlands
11778	United Kingdom
11815	France
11815	United Kingdom
12444	France
13029	France
14472	United States
16063	United States
18097	France
18166	France
18166	United Kingdom
19170	United Kingdom
2042861915	Germany
227	France
23092	France
24679	France
25157	United States
25751	France
25751	United Kingdom
28264	France
2983542515	Germany
31858	France
33046	United Kingdom
36559	United States
41500007007	United States
43366	France
4394	United Kingdom
53327	United Kingdom
64491	United Kingdom
65269	France
68789	France
68789	United Kingdom
71093	France
71093	United Kingdom
71185	France
71185	United Kingdom
73455	United Kingdom
73455	France
73899	United States
74742	France
76630	United Kingdom
78115	France
78115	United Kingdom
8274000078	United States
8295616241	United States
88862	United States
88978	United States
90100	United States
9073102963	United States
9138378043	Canada
9138378043	France
9138378043	Switzerland
9138378043	United States
9300003346	United States
9300128896	France
9300128896	United States
9542018054	France
9542018061	France
9542018061	United Kingdom
9542018085	United Kingdom
9800801107	United States
9800892204	United States
9800892204	United States
9800892204	United States
9800892204	United States
9800895007	United States
9800895250	United States
99233	United States
99332	
104456	
10700021526	
10700024404	
10700088130	
10852997489	
11110001207	
11110001986	
11110019516	
11110020109	
