categories	idCategoria
Légumes-feuilles	1
Snacks sucrés	2
Biscuits et gâteaux	3
Pâtisseries	4
Boulange	5
Aliments et boissons à base de végétaux	6
Aliments d'origine végétale	7
Légumineuses et dérivés	8
Céréales et pommes de terre	9
Légumineuses	10
Graines	11
Graines de légumineuses	12
Légumes secs	13
Lentilles vertes	14
Boissons	15
Boissons gazeuses	16
Sodas	17
Boissons sucrées	18
Root Beers	19
Biscuits	20
Sablés	21
Quiches lorraines	22
Boissons chaudes	23
Infusions	24
Thés	25
Thés noirs	26
Boissons non sucrées	27
Thés noirs aromatisés	28
Thés aromatisés	29
Sirops	30
Sirops pour ganache	31
Boissons alcoolisées	32
Vins	33
Vins français	34
Vins rouges	35
Côtes du Rhône	36
Côtes du Rhône Villages	37
Pralinen	38
Desserts	39
Christmas Puddings	40
Puddings	41
Sodas au cola	42
Comestibles	43
Condimentos	44
Salsas	45
Salsas de mostaza	46
Sodas au citron	47
Proteinpulver	48
Flat Parsley	49
Parsley	50
Herbs	51
Cakes aux raisins	52
Cakes	53
Gâteaux	54
Cakes aux fruits	55
Viandes de porc	56
Financiers	57
Gâteaux au citron	58
Sugary snacks	59
Confectioneries	60
Candies	61
Goûters individuels	62
Epicerie	63
Condiments	64
Plantes condimentaires	65
Plantes aromatiques	66
Herbes aromatiques	67
Menthe	68
Bonbons à la menthe	69
Cookies au chocolat	70
Cookies	71
Cookies au raisin	72
Sundaes	73
Glaces	74
Crèmes glacées	75
Produits laitiers	76
Fromages	77
Fromages du Royaume-Uni	78
Fromages de vache	79
Fromages d'Angleterre	80
Cheddars	81
Cheddar en tranches	82
Chowders	83
Soups	84
Frais	85
Aliments à base de fruits et de légumes	86
Aliments à base de plantes frais	87
Légumes et dérivés	88
Légumes frais	89
Salades	90
Salade Iceberg	91
Crumpets	92
Petit-déjeuners	93
Plant-based foods and beverages	94
Plant-based foods	95
Fruits and vegetables based foods	96
Vegetables based foods	97
Fresh foods	98
Fresh plant-based foods	99
Mushrooms and their products	100
Mushrooms	101
Gâteaux fourrés	102
Gâteaux au chocolat	103
Cookies aux noix de pécan	104
Bières	105
Surgelés	106
Plats préparés	107
Pizzas tartes salées et quiches	108
Pizzas surgelées	109
Pizzas et tartes surgelées	110
Pizzas	111
Plats préparés surgelés	112
Viandes	113
Charcuteries	114
Jambons	115
en:Honey roast ham	116
Toasts	117
Tartines craquantes	118
Produits sans gluten	119
Biscottes	120
Soupes	121
Veloutés	122
Soupes de légumes	123
Veloutés de légumes	124
Beef	125
Microwave meals	126
Groceries	127
Sauces	128
Mustards	129
Plats préparés d'origine végétale	130
Réfrigérés	131
Plats préparés réfrigérés	132
Salades composées	133
fruit	134
Cereals and potatoes	135
Cereals	136
Flours	137
Plain Flour	138
Sunflower oil	139
Pancakes	140
Crêpes	141
Harengs	142
Produits de la mer	143
Poissons	144
Chocolats	145
Moulages en chocolat	146
Chocolate Droid	147
Produits sous license	148
Chocolats au lait	149
Chocolats de Pâques	150
Dinosaure en chocolat	151
Plats à base de viande	152
Plats à base de volaille	153
Plats à base de poulet	154
Plats préparés à faible teneur en matières grasses	155
Raspberry jams	156
Fresh vegetables	157
Broccoli	158
Cabbage	159
Beverages	160
Plant-based beverages	161
Carbonated drinks	162
Fruit-based beverages	163
Fruit sodas	164
Sodas with exotic fruits	165
Sugared beverages	166
Vinaigre balsamique	167
Boissons à base de végétaux	168
Eaux de coco	169
Feijoada	170
Plats préparés à réchauffer au micro-ondes	171
Plats à base de viande porcine	172
Lollipops	173
Pickles	174
Canned foods	175
Chocolates	176
Milk chocolates	177
chocolate	178
Pâtes à tartiner aux noisettes et au cacao	179
Produits à tartiner	180
Produits à tartiner sucrés	181
Pâtes à tartiner	182
Pâtes à tartiner au chocolat	183
Pâtes à tartiner aux noisettes	184
fr:Pâtes à tartiner aux noisettes et au cacao	185
Snacks salés	186
Apéritif	187
Biscuits apéritifs	188
Biscuits feuilletés	189
Sandwichs	190
Sandwichs à la volaille	191
Plats préparés frais	192
Sandwichs au poulet	193
Wrap	194
Fish and meat and eggs	195
Offals	196
Haggis	197
Bonbons	198
Dairies	199
Yogurts	200
Breads	201
