code	energy_100g	fat_100g	saturated-fat_100g	carbohydrates_100g	sugars_100g	proteins_100g	salt_100g	sodium_100g
27083	1513							
50913	2179							
56434	5							
290616	1210	12	7	23	0	22	2.16	0.85
394710	1520	14.4		54.1	28.1	4.79	922	363
673358	1329							
1798180								
1938067	1090	10.7	2	38.7	24.7	3.33	647	255
4302544	1160	1.11	333	53.3	1.11	10	1.52	0.6
5200016								
7020254	215	0	0	14.2	13.6	0	0.0616	0.0242
7730009								
8237798	478	6.79	2.86	7.86	714	5.36	499	196
10090206								
10127735								
20004552								
20424640	2257	33.3	21.1	53.8	51.5	4.7	0.09	0.0354330708661417
27533024	1284	7	3.6	54.2	44	3.9	0.2	0.078740157480315
40608754	177	0	0	10.4	10.4	0	0.0254	0.01
50985098	1640							
54491472	180							
54491496	1							
75001629								
80007838								
80135876	2278							
84154071	320	3.5		7.5		3.6		
87177756	177	0	0	10.4	10.4	0	0.1	0.0393700787401575
93718738								
204286484	1533	1		2.5		85.5		
2929								
30	1768	19	2.5	56	28	5.8	0.65	0.255905511811024
31	1670	15	2	60	34	4.9	0.6	0.236220472440945
3100								
460938714	1590	0.5		1.1		88.5		
470322800	1644	4.6		8.8	6	78.05	1.21158	477
50	1868	23	10	51	39	8	0.55	0.216535433070866
51	1896	24	10	50	37	8.1	0.78	0.307086614173228
526938306	1644	4.6		8.8	6	78.05	1.21158	477
790310013	1360	0	0	75	57.5	5	127	0.05
790310020	586	0	0	34	24	0	0.0762	0.03
104	1724	18	2	57	31	5	0.63	0.248031496062992
11501	1665	0.5	0.5	96	96	0.9	0	0
11679	2096	26	15.2	60.1	37.4	5.4	0.899999999999999	0.354330708661417
11686	1866	17.9	11	64.3	34.7	5.5	0.850000000000001	0.334645669291339
11693	2172	29.1	17	58.4	33.5	5.5	1	0.393700787401575
11709	1887	20.5	13.3	59.3	36.5	5.1	0.779999999999999	0.307086614173228
11730	1806	15.2	8.6	67.5	41.2	4.4	0.75	0.295275590551181
11754	1979	20.8	13.7	63.6	31.8	6.1	0.58	0.228346456692913
11778	1809	13.3	7	70.2	35.7	6.1	0.83	0.326771653543307
11815	1981	20.8	13.7	63.6	31.8	6.1	0.570000000000001	0.224409448818898
12444								
13029								
14472	1464	1.25	0	75	2.5	15	0	0
16063	276	1.64	0	9.02	0.82	4.1	1.24968	492
18097								
18166	385	0.6	0.1	33.1	1.5	5.9	1.23	0.484251968503937
19170								
2042861915	1533	1		2.5		85.5		
227	1807	20	5	57	37	5.3	0.7	0.275590551181102
23092	2030	26.8	7.6	54.2	29.4	6	0.370000000000001	0.145669291338583
24679								
25157	1070	12	4.51	25.6	3.76	9.77	1.22	481
25751	564	2	0.7	4.3	2.9	24.5	2	0.78740157480315
28264	1657	11.1	1.3	63.7	15.1	8.3	1.71	0.673228346456693
2983542515	1590	0.5		1.1		88.5		
31858	188	2.1	0.7	5.3	2.4	0.8	0.75	0.295275590551181
33046	615	6.4	2.6	0	0	22.1	0.1778	0.07
36559	761	7.58	4.04	21.2	1.52	8.08	757	298
41500007007								
43366	586	5.2	0.7	18.8	3.3	3.1	0	0
4394								
53327	1554	1.3	0.2	77.7	1.5	9.4	0.0100076	0.00394
64491	3404	92	10.1	0.5	0.5	0.5	0.01	0.00393700787401575
65269	1155	9.7	2.8	39.8	15.1	6.6	0.55	0.216535433070866
68789	725	6.9	1.4	15.2	15.2	12.1	2.2352	0.88
71093	2245	32.5	20.1	53.7	53.5	6.8	0.2	0.078740157480315
71185								
73455	354	1.6	0.6	7.8	2.7	8.9	0.25	0.0984251968503937
73899	1720	34.4	21.2	1.9	1.1	22.9	1.38	0.543307086614173
74742	1063	0.9	0.5	59.4	57.4	0.7	0.2	0.078740157480315
76630								
78115	1618	32.9	19.7	1.4	0.4	21.7	1.53	0.602362204724409
8274000078								
8295616241	63	0	0		3		0	0
88862	1554	1.3	0.2	77.7	1.5	9.4	0.0100076	0.00394
88978								
90100	622	4.4	2	16	0.5	10	0.63	0.248031496062992
9073102963	435	0	0	26	25	0	0	0
9138378043								
9300003346	75	0		3.57		0	2.81	1.11
9300128896	21	0		1		0	0.6604	0.26
9542018054	2400	40	25	50	50	5	222	0.0875
9542018061	2300	32.5	20	55	52.5	7.5	159	0.0625
9542018085	2200	30	20	55	50	5	159	0.0625
9800801107	2230	30	10	56.7	56.7	6.67	0.0847	0.0333
9800892204	2260	32.4	10.8	56.8	56.8	5.41	103	0.0405
9800895007	2260	32.4	10.8	56.8	56.8	5.41	103	0.0405
9800895250	2260	32.4	10.8	56.8	56.8	5.41	103	0.0405
99233	2155	28.7	18.5	50.5	2.6	12.1	1.85	0.728346456692913
99332	811	5.3	1.9	25.1	1.3	10	0.6	0.236220472440945
104456	1205	19	8.3	18.4	0.6	9.7	1.6764	0.66
10700021526	1820	15.4	8.97	69.2	51.3	2.56	684	269
10700024404	1940	17.1	17.1	75.6	58.5	2.44	589	232
10700088130	1460	0	0	87.5	62.5	2.5	762	0.3
10852997489	443	4.12	2.06	15.9	14.1	2.94	112	0.0441
11110001207	1050	1.79	0	50	7.14	7.14	1.22	482
11110001986	1120	2.22	1.11	51.1	2.22	8.89	1.47	578
11110019516								
11110020109	1170	2.33	0	51.2	6.98	9.3	1.18	465
