code	additives_en
27083	1
27083	2
27083	3
27083	4
27083	5
27083	6
50913	7
50913	8
50913	9
50913	10
50913	11
50913	12
50913	2
50913	13
50913	14
50913	15
56434	16
56434	11
56434	17
56434	18
56434	19
290616	
394710	20
394710	8
394710	16
394710	21
394710	22
394710	11
394710	23
394710	24
394710	25
394710	26
394710	27
394710	28
673358	8
673358	29
673358	30
673358	11
1798180	
1938067	16
1938067	31
1938067	11
1938067	32
1938067	33
4302544	
5200016	
7020254	34
7020254	31
7020254	35
7730009	36
7730009	9
7730009	15
8237798	37
8237798	38
8237798	39
10090206	
10127735	40
10127735	41
10127735	31
10127735	11
20004552	
20424640	9
20424640	25
20424640	26
20424640	42
27533024	43
27533024	8
27533024	11
27533024	12
40608754	44
40608754	45
50985098	46
50985098	47
54491472	44
54491472	45
54491496	44
54491496	11
54491496	45
54491496	48
75001629	
80007838	
80135876	
84154071	
87177756	30
87177756	11
87177756	17
93718738	49
93718738	50
93718738	51
204286484	
2929	
30	42
30	2
30	52
30	13
30	15
31	53
31	54
31	55
31	16
31	56
31	11
31	42
31	2
31	52
31	13
31	15
3100	53
3100	57
3100	58
3100	38
3100	59
3100	60
460938714	
470322800	
50	42
50	2
50	13
51	61
51	11
51	47
51	62
51	63
51	42
51	2
51	13
526938306	
790310013	64
790310013	65
790310013	66
790310013	54
790310013	67
790310013	11
790310013	68
790310013	25
790310013	26
790310013	69
790310013	70
790310020	64
790310020	65
790310020	66
790310020	54
790310020	17
790310020	71
790310020	72
104	16
104	11
104	17
104	42
104	27
104	2
104	52
104	13
104	15
11501	69
11679	8
11679	12
11679	2
11679	13
11679	14
11679	15
11686	8
11686	12
11686	2
11686	13
11686	14
11686	15
11693	8
11693	9
11693	10
11693	12
11693	2
11693	13
11693	14
11709	56
11709	2
11709	13
11709	14
11709	15
11730	11
11730	2
11730	13
11730	14
11730	15
11754	8
11754	12
11754	2
11754	13
11754	14
11754	15
11778	8
11778	9
11778	10
11778	12
11778	2
11778	13
11778	14
11778	15
11815	8
11815	12
11815	2
11815	13
11815	14
11815	15
12444	39
12444	73
12444	52
13029	7
13029	74
13029	49
13029	9
13029	10
13029	11
13029	17
14472	
16063	51
18097	
18166	2
18166	13
18166	14
18166	75
19170	
2042861915	
227	16
227	9
227	42
227	27
227	2
227	52
227	13
227	15
23092	12
23092	2
23092	13
23092	14
24679	76
25157	
25751	
28264	56
28264	51
28264	2
28264	13
28264	14
2983542515	
31858	7
31858	74
33046	
36559	77
36559	78
36559	7
36559	79
36559	12
36559	32
41500007007	
43366	
4394	
53327	8
53327	12
64491	
65269	8
65269	9
65269	10
65269	12
65269	42
65269	2
65269	13
65269	14
68789	80
71093	9
71093	10
71185	
73455	11
73455	27
73455	28
73899	
74742	11
74742	17
74742	27
74742	28
76630	
78115	
8274000078	
8295616241	44
8295616241	81
88862	8
88862	12
88978	
90100	82
90100	83
90100	84
90100	69
9073102963	27
9073102963	28
9138378043	64
9138378043	65
9138378043	66
9138378043	54
9138378043	11
9300003346	64
9300003346	31
9300003346	81
9300003346	85
9300003346	32
9300128896	64
9300128896	31
9300128896	85
9300128896	32
9542018054	9
9542018054	10
9542018054	13
9542018054	14
9542018061	9
9542018061	10
9542018085	9
9542018085	10
9542018085	25
9542018085	26
9800801107	
9800892204	
9800895007	
9800895250	
99233	
99332	8
99332	30
99332	11
99332	2
99332	52
99332	13
99332	14
99332	32
104456	
10700021526	52
10700021526	13
10700021526	14
10700024404	36
10700024404	8
10700024404	9
10700024404	10
10700024404	86
10700024404	13
10700024404	14
10700088130	77
10700088130	78
10700088130	12
10852997489	11
10852997489	24
10852997489	27
10852997489	28
11110001207	77
11110001207	78
11110001207	87
11110001207	9
11110001207	10
11110001207	11
11110001207	62
11110001207	88
11110001207	12
11110001207	4
11110001207	89
11110001207	90
11110001207	91
11110001986	77
11110001986	78
11110001986	92
11110001986	29
11110001986	87
11110001986	67
11110001986	22
11110001986	12
11110001986	6
11110001986	89
11110001986	93
11110019516	
11110020109	77
11110020109	78
11110020109	87
11110020109	9
11110020109	10
11110020109	11
11110020109	62
11110020109	88
11110020109	12
11110020109	4
11110020109	89
11110020109	91
